# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.5.3

area.save.areagroup::テスト1, string, 8015E38386E382B9E38388E382B0E383ABE383BCE38397
area.save.areagroup::テスト2, string, 8015E38386E382B9E38388E382B0E383ABE383BCE38397
area.save.areagroup::テスト3, string, 8016E38386E382B9E38388E382B0E383ABE383BCE3839732
area.save.areagroup::テスト4, string, 8016E38386E382B9E38388E382B0E383ABE383BCE3839732
"area.save.list::0,0,0", string, 800AE38386E382B9E3838831
"area.save.list::0,0,1", string, 800AE38386E382B9E3838834
"area.save.list::0,8,77", string, 8015E38395E382A1E383ABE383AAE382A2E381AEE8A197
"area.save.list::0,8,78", string, 8015E38395E382A1E383ABE383AAE382A2E381AEE8A197
"area.save.list::0,8,79", string, 8015E38395E382A1E383ABE383AAE382A2E381AEE8A197
"area.save.list::1,0,0", string, 800AE38386E382B9E3838832
"area.save.list::1,0,1", string, 800AE38386E382B9E3838833
"area.save.list::1,8,77", string, 8015E38395E382A1E383ABE383AAE382A2E381AEE8A197
"area.save.list::1,8,78", string, 8015E38395E382A1E383ABE383AAE382A2E381AEE8A197
"area.save.list::1,8,79", string, 8015E38395E382A1E383ABE383AAE382A2E381AEE8A197
"area.save.list::1,9,79", string, 8015E38395E382A1E383ABE383AAE382A2E381AEE8A197

